Cohesion,m,theta_crit_deg,length_m,width_m
760,0.5,37.703125,23.9,15.9
760,0.51,37.453125,23.9,15.9
760,0.52,37.203125,23.9,15.9
760,0.53,36.921875,23.9,15.9
760,0.54,36.671875,23.9,15.9
760,0.55,36.390625,23.9,15.9
760,0.56,36.140625,23.9,15.9
760,0.57,35.859375,23.9,15.9
760,0.58,35.609375,23.9,15.9
760,0.59,35.328125,23.9,15.9
760,0.6,35.046875,23.9,15.9
760,0.61,34.765625,23.9,15.9
760,0.62,34.484375,23.9,15.9
760,0.63,34.203125,23.9,15.9
760,0.64,33.921875,23.9,15.9
760,0.65,33.640625,23.9,15.9
760,0.66,33.359375,23.9,15.9
760,0.67,33.078125,23.9,15.9
760,0.68,32.765625,23.9,15.9
760,0.69,32.484375,23.9,15.9
760,0.7,32.203125,23.9,15.9
760,0.71,31.890625,23.9,15.9
760,0.72,31.609375,23.9,15.9
760,0.73,31.296875,23.9,15.9
760,0.74,30.984375,23.9,15.9
760,0.75,30.703125,23.9,15.9
760,0.76,30.390625,23.9,15.9
760,0.77,30.078125,23.9,15.9
760,0.78,29.765625,23.9,15.9
760,0.79,29.453125,23.9,15.9
760,0.8,29.140625,23.9,15.9
760,0.81,28.828125,23.9,15.9
760,0.82,28.515625,23.9,15.9
760,0.83,28.203125,23.9,15.9
760,0.84,27.859375,23.9,15.9
760,0.85,27.546875,23.9,15.9
760,0.86,27.203125,23.9,15.9
760,0.87,26.890625,23.9,15.9
760,0.88,26.546875,23.9,15.9
760,0.89,26.234375,23.9,15.9
760,0.9,25.890625,23.9,15.9
760,0.91,25.546875,23.9,15.9
760,0.92,25.203125,23.9,15.9
760,0.93,24.859375,23.9,15.9
760,0.94,24.515625,23.9,15.9
760,0.95,24.171875,23.9,15.9
760,0.96,23.796875,23.9,15.9
760,0.97,23.453125,23.9,15.9
760,0.98,23.109375,23.9,15.9
760,0.99,22.734375,23.9,15.9
760,1.0,22.359375,23.9,15.9
1920,0.5,41.109375,23.9,15.9
1920,0.51,40.828125,23.9,15.9
1920,0.52,40.546875,23.9,15.9
1920,0.53,40.234375,23.9,15.9
1920,0.54,39.953125,23.9,15.9
1920,0.55,39.671875,23.9,15.9
1920,0.56,39.359375,23.9,15.9
1920,0.57,39.078125,23.9,15.9
1920,0.58,38.796875,23.9,15.9
1920,0.59,38.484375,23.9,15.9
1920,0.6,38.171875,23.9,15.9
1920,0.61,37.890625,23.9,15.9
1920,0.62,37.578125,23.9,15.9
1920,0.63,37.265625,23.9,15.9
1920,0.64,36.953125,23.9,15.9
1920,0.65,36.640625,23.9,15.9
1920,0.66,36.328125,23.9,15.9
1920,0.67,36.015625,23.9,15.9
1920,0.68,35.703125,23.9,15.9
1920,0.69,35.390625,23.9,15.9
1920,0.7,35.046875,23.9,15.9
1920,0.71,34.734375,23.9,15.9
1920,0.72,34.421875,23.9,15.9
1920,0.73,34.078125,23.9,15.9
1920,0.74,33.734375,23.9,15.9
1920,0.75,33.421875,23.9,15.9
1920,0.76,33.078125,23.9,15.9
1920,0.77,32.734375,23.9,15.9
1920,0.78,32.390625,23.9,15.9
1920,0.79,32.046875,23.9,15.9
1920,0.8,31.703125,23.9,15.9
1920,0.81,31.359375,23.9,15.9
1920,0.82,31.015625,23.9,15.9
1920,0.83,30.671875,23.9,15.9
1920,0.84,30.296875,23.9,15.9
1920,0.85,29.953125,23.9,15.9
1920,0.86,29.578125,23.9,15.9
1920,0.87,29.234375,23.9,15.9
1920,0.88,28.859375,23.9,15.9
1920,0.89,28.484375,23.9,15.9
1920,0.9,28.109375,23.9,15.9
1920,0.91,27.734375,23.9,15.9
1920,0.92,27.359375,23.9,15.9
1920,0.93,26.984375,23.9,15.9
1920,0.94,26.609375,23.9,15.9
1920,0.95,26.203125,23.9,15.9
1920,0.96,25.828125,23.9,15.9
1920,0.97,25.421875,23.9,15.9
1920,0.98,25.015625,23.9,15.9
1920,0.99,24.609375,23.9,15.9
1920,1.0,24.203125,23.9,15.9
3600,0.5,44.296875,23.9,15.9
3600,0.51,43.984375,23.9,15.9
3600,0.52,43.640625,23.9,15.9
3600,0.53,43.328125,23.9,15.9
3600,0.54,43.015625,23.9,15.9
3600,0.55,42.703125,23.9,15.9
3600,0.56,42.390625,23.9,15.9
3600,0.57,42.046875,23.9,15.9
3600,0.58,41.734375,23.9,15.9
3600,0.59,41.390625,23.9,15.9
3600,0.6,41.078125,23.9,15.9
3600,0.61,40.734375,23.9,15.9
3600,0.62,40.390625,23.9,15.9
3600,0.63,40.046875,23.9,15.9
3600,0.64,39.734375,23.9,15.9
3600,0.65,39.390625,23.9,15.9
3600,0.66,39.046875,23.9,15.9
3600,0.67,38.703125,23.9,15.9
3600,0.68,38.359375,23.9,15.9
3600,0.69,37.984375,23.9,15.9
3600,0.7,37.640625,23.9,15.9
3600,0.71,37.296875,23.9,15.9
3600,0.72,36.921875,23.9,15.9
3600,0.73,36.578125,23.9,15.9
3600,0.74,36.203125,23.9,15.9
