Point_ID,Extent,max_9
2,ext1_32610,1351.029
3,ext1_32610,337.311
1,ext1_32610,881.039
1,ext10_32610,705.188
1,ext12_32610,1224.237
1,ext13_32610,1221.528
1,ext15_32610,372.588
2,ext15_32610,842.708
3,ext15_32610,1435.369
4,ext15_32610,484.153
5,ext15_32610,506.406
6,ext15_32610,765.772
7,ext15_32610,568.235
1,ext16_32610,358.7682638
2,ext2_32610,760.06
1,ext3_32610,1134.91
2,ext3_32610,795.322
3,ext3_32610,570.176
2,ext5_32610,652.296
1,ext5_32610,185.01
2,ext6_32610,428.4
1,ext6_32610,190.425
1,ext7_32610,823.869
1,ext9_32610,763.672
2,ext4_32610,1043.846
1,ext4_32610,1930.066
1,ext22_32610,2014.173
1,ext23_32610,1626.754
2,ext23_32610,1431.113
1,ext25_32610,629.879
1,ext28_32610,925.45
